seed,extra_distractors,method,precision_at_2,recall_at_2
692,2,ontology_guided,0.5,1.0
696,2,semantic_only,0.5,1.0
696,2,ontology_guided,1.0,1.0
711,2,semantic_only,1.0,0.5
711,2,ontology_guided,1.0,0.5
712,2,semantic_only,0.5,1.0
712,2,ontology_guided,1.0,1.0
713,2,semantic_only,0.0,0.0
713,2,ontology_guided,1.0,1.0
716,2,semantic_only,0.5,1.0
716,2,ontology_guided,1.0,1.0
717,2,semantic_only,0.5,1.0
717,2,ontology_guided,0.5,1.0
718,2,semantic_only,1.0,0.6666666666666666
718,2,ontology_guided,1.0,0.6666666666666666
726,2,semantic_only,0.0,0.0
726,2,ontology_guided,1.0,1.0
733,2,semantic_only,0.5,1.0
733,2,ontology_guided,0.5,1.0
739,2,semantic_only,1.0,1.0
739,2,ontology_guided,1.0,1.0
741,2,semantic_only,1.0,1.0
741,2,ontology_guided,1.0,1.0
754,2,semantic_only,0.5,1.0
754,2,ontology_guided,1.0,1.0
760,2,semantic_only,0.5,1.0
760,2,ontology_guided,0.5,1.0
774,2,semantic_only,1.0,0.6666666666666666
774,2,ontology_guided,0.5,0.3333333333333333
788,2,semantic_only,0.5,1.0
788,2,ontology_guided,0.5,1.0
789,2,semantic_only,0.0,0.0
789,2,ontology_guided,1.0,1.0
796,2,semantic_only,0.0,0.0
796,2,ontology_guided,1.0,1.0
799,2,semantic_only,0.5,1.0
799,2,ontology_guided,0.5,1.0
805,2,semantic_only,0.5,1.0
805,2,ontology_guided,1.0,1.0
811,2,semantic_only,0.5,1.0
811,2,ontology_guided,1.0,1.0
816,2,semantic_only,1.0,1.0
816,2,ontology_guided,1.0,1.0
820,2,semantic_only,0.5,1.0
820,2,ontology_guided,0.5,1.0
822,2,semantic_only,1.0,1.0
822,2,ontology_guided,0.5,0.5
825,2,semantic_only,0.5,1.0
825,2,ontology_guided,1.0,1.0
827,2,semantic_only,0.5,1.0
827,2,ontology_guided,0.5,1.0
828,2,semantic_only,0.5,1.0
828,2,ontology_guided,1.0,1.0
829,2,semantic_only,0.5,1.0
829,2,ontology_guided,1.0,1.0
837,2,semantic_only,0.5,1.0
837,2,ontology_guided,0.5,1.0
840,2,semantic_only,0.5,1.0
840,2,ontology_guided,1.0,1.0
851,2,semantic_only,1.0,0.5
851,2,ontology_guided,0.5,0.25
861,2,semantic_only,1.0,0.6666666666666666
861,2,ontology_guided,1.0,0.6666666666666666
